,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,matara,100,BI,1573766804,91,-3.48,29.48,58.86,3.15
389,seoul,90,KR,1573766181,64,37.57,126.98,42.8,2.24
390,maragogipe,37,BR,1573766805,74,-12.78,-38.92,82.4,12.75
391,tubuala,40,PA,1573766805,78,9.52,-79.03,82.99,9.17
392,dingle,100,PH,1573766805,98,11.0,122.67,73.71,2.15
393,wattegama,98,LK,1573766805,95,7.35,80.68,71.62,1.97
394,hualmay,18,PE,1573766806,64,-11.1,-77.61,69.84,8.77
395,gubkinskiy,28,RU,1573766806,100,64.43,76.5,-17.34,1.34
396,kingisepp,100,RU,1573766806,83,59.38,28.61,48.7,7.9
397,college,75,US,1573766806,65,64.86,-147.8,12.2,19.46
398,gubden,90,RU,1573766807,62,42.57,47.57,51.8,8.95
399,terrace,90,CA,1573766807,93,54.52,-128.61,44.6,2.24
400,artesia,1,US,1573766807,37,32.84,-104.4,57.99,4.7
401,lensk,100,RU,1573766808,95,60.71,114.91,-17.16,6.04
402,kendari,23,ID,1573766808,95,-3.99,122.52,71.06,1.34
403,santa maria,100,PH,1573766673,80,17.49,120.43,70.7,5.32
404,kargasok,100,RU,1573766812,96,59.06,80.87,-7.62,11.21
405,kitale,0,KE,1573766813,79,1.02,35.0,57.81,1.25
406,korhogo,24,CI,1573766813,57,9.46,-5.63,79.77,1.97
407,acapulco,75,MX,1573766813,66,16.86,-99.88,86.0,5.82
408,regina,75,CA,1573766750,80,50.45,-104.62,32.0,4.7
409,cockburn town,0,AU,1573766814,54,-32.08,141.0,59.0,10.29
410,gat,100,SN,1573766814,32,14.69,-16.54,82.4,2.24
411,tasiilaq,100,GL,1573766814,97,65.61,-37.64,33.82,54.29
412,santa maria da vitoria,100,PH,1573766673,80,17.49,120.43,70.7,5.32
413,marhaura,0,IN,1573766814,88,25.97,84.87,64.4,3.6
414,akhisar,18,TR,1573766815,84,38.92,27.84,51.93,3.71
415,chimbote,0,PE,1573766815,63,-9.08,-78.59,71.64,13.58
416,virginia beach,90,US,1573766815,69,39.95,-90.21,37.4,8.05
417,puerto escondido,75,AR,1573766688,48,-51.62,-69.23,64.4,16.11
418,skjervoy,75,NO,1573766815,93,70.03,20.97,35.6,14.99
419,aksha,0,RU,1573766816,74,50.28,113.29,3.42,8.84
420,nouadhibou,100,MR,1573766817,82,20.93,-17.03,66.2,11.41
421,nizwa,0,OM,1573766817,43,22.93,57.53,61.38,2.42
422,mattru,100,SL,1573766818,91,7.62,-11.83,76.71,3.83
423,simao,0,CN,1573766819,96,22.76,100.79,55.04,2.24
424,waipawa,0,NZ,1573766820,68,-39.94,176.59,57.99,8.99
425,paslek,69,PL,1573766822,88,54.06,19.66,39.99,3.0
426,salalah,20,OM,1573766823,65,17.01,54.1,78.8,2.24
427,kosa,0,JP,1573766823,93,32.67,130.82,35.6,1.12
428,klaksvik,24,FO,1573766823,69,62.23,-6.59,35.6,10.29
429,sur,0,OM,1573766824,42,22.57,59.53,73.06,7.87
430,dinhata,0,IN,1573766824,82,26.13,89.46,71.8,2.62
431,aksu,67,KZ,1573766824,77,52.04,76.93,6.8,13.42
432,shimoda,40,JP,1573766824,76,34.7,138.93,51.01,2.24
433,northam,10,AU,1573766825,37,-31.65,116.67,71.6,14.99
434,raichur,86,IN,1573766827,80,16.2,77.36,74.35,3.98
435,pacific grove,75,US,1573766827,100,47.26,-122.25,55.99,6.93
436,cordoba,0,AR,1573766827,19,-27.78,-67.24,90.39,10.09
437,naron,40,ES,1573766827,66,43.52,-8.15,51.01,17.22
438,morlaix,100,FR,1573766653,93,48.58,-3.83,44.01,12.75
439,bonnyville,75,CA,1573766564,62,54.27,-110.74,23.0,5.82
440,leatherhead,40,GB,1573766828,100,51.3,-0.33,43.0,6.93
441,clyde river,7,NZ,1573766830,71,-45.19,169.32,46.98,9.26
442,lazaro cardenas,5,MX,1573766833,31,29.05,-111.04,88.0,2.51
443,lokoja,33,NG,1573766833,70,7.8,6.74,76.69,3.83
444,chopovychi,0,UA,1573766833,77,50.83,28.95,39.67,8.41
445,leua,100,AO,1573766834,86,-11.65,20.45,68.07,4.36
446,defiance,90,US,1573766834,69,41.28,-84.36,34.0,4.7
447,san juan,0,ML,1573766796,20,13.3,-4.9,82.11,6.69
448,americus,90,US,1573766682,71,32.07,-84.23,50.0,5.82
449,rio grande city,90,US,1573766835,74,41.11,-90.4,33.01,8.05
450,benguela,73,AO,1573766835,77,-12.58,13.4,79.59,4.43
451,ribas do rio pardo,20,PT,1573766835,66,41.45,-8.02,50.0,20.8
452,goiatuba,100,BR,1573766835,73,-18.02,-49.36,76.1,13.89
453,taoudenni,0,ML,1573766835,23,22.68,-3.98,70.57,5.48
454,bubaque,87,GW,1573766835,77,11.28,-15.83,82.65,13.35
455,chatellerault,90,FR,1573766836,100,46.8,0.53,41.0,4.7
456,comodoro rivadavia,100,BR,1573766836,95,-13.66,-59.79,73.8,1.39
457,beaverton,1,US,1573766731,62,45.49,-122.8,57.99,4.7
458,grand-lahou,9,CI,1573766837,78,5.24,-5.0,81.93,9.57
459,luoyang,0,CN,1573766837,47,34.66,112.42,51.69,3.15
460,san quintin,0,ML,1573766838,20,13.3,-4.9,82.11,6.69
461,sawtell,90,AU,1573766838,77,-30.38,153.1,66.2,2.48
462,ambilobe,95,MG,1573766838,85,-13.19,49.05,77.13,7.02
463,biscarrosse,20,FR,1573766838,100,44.41,-1.18,39.2,2.24
464,sinnamary,1,GF,1573766838,76,5.38,-52.96,82.51,11.07
465,pierre,1,US,1573766839,57,44.37,-100.35,55.0,10.29
466,hudiksvall,70,SE,1573766583,89,61.73,17.1,28.9,6.38
467,ornskoldsvik,75,SE,1573766850,80,63.29,18.72,32.0,5.82
468,naze,40,NG,1573766853,88,5.43,7.07,80.6,3.36
469,puerto princesa,75,AR,1573766810,48,-51.62,-69.23,64.4,16.11
470,borazjan,0,IR,1573766853,37,29.27,51.21,69.8,1.32
471,calatayud,72,ES,1573766854,84,41.35,-1.64,48.2,12.75
472,grand centre,100,FR,1573766854,93,48.39,5.49,41.0,5.82
473,husavik,98,CA,1573766854,63,50.56,-96.99,28.0,11.01
474,bandarbeyla,32,SO,1573766855,78,9.49,50.81,79.61,15.73
475,fare,0,PF,1573766855,78,-16.7,-151.02,79.75,18.7
476,guangyuan,0,CN,1573766855,81,32.43,105.86,50.0,2.26
477,paita,0,PE,1573766855,100,-5.09,-81.11,62.6,13.87
478,statesboro,90,US,1573766856,70,32.45,-81.78,51.8,8.05
479,detva,75,SK,1573766856,87,48.54,19.42,44.6,3.36
480,kaeo,68,NZ,1573766742,67,-35.1,173.78,64.0,7.0
481,wilmington island,1,US,1573766763,45,39.75,-75.55,45.0,12.75
482,donskoye,20,RU,1573766857,80,45.45,41.98,39.2,22.37
483,yamachiche,90,CA,1573766857,85,46.28,-72.83,26.01,9.17
484,yelizovo,90,RU,1573766858,97,53.19,158.38,33.8,17.9
485,tezu,14,IN,1573766858,66,27.93,96.16,66.25,2.06
486,maymyo,40,MM,1573766859,94,22.03,96.47,75.2,5.82
487,marsh harbour,40,GB,1573766859,93,53.65,-1.81,44.01,14.99
488,balkhash,99,KZ,1573766859,57,46.84,74.98,32.23,7.09
489,itoman,20,JP,1573766861,60,26.12,127.67,68.0,9.17
490,tautira,20,PF,1573766863,62,-17.73,-149.15,84.2,10.29
491,singkang,75,MY,1573766864,88,2.1,102.8,77.0,2.24
492,poum,75,MK,1573766864,81,41.28,20.71,51.8,3.36
493,pontianak,100,ID,1573766864,97,-0.02,109.34,74.28,1.41
494,mahajanga,20,MG,1573766864,83,-15.72,46.32,82.4,5.82
495,buraydah,75,SA,1573766864,100,26.33,43.97,62.6,10.29
496,alexandria,100,RO,1573766838,97,43.97,25.33,57.0,8.86
497,ullapool,1,GB,1573766865,85,57.9,-5.16,37.99,1.99
498,axim,62,GH,1573766865,92,4.87,-2.24,75.22,2.55
499,cedar city,1,US,1573766865,25,39.39,-110.45,55.0,4.63
500,porto novo,20,PT,1573766721,66,41.15,-8.61,55.0,20.8
501,manzhouli,0,CN,1573766870,85,49.6,117.43,1.02,7.87
502,buta,68,CD,1573766874,97,2.79,24.73,70.52,1.74
503,zabaykalsk,0,CN,1573766874,85,49.64,117.33,1.02,7.87
504,avera,90,US,1573766874,65,33.19,-82.53,46.99,4.7
505,talcahuano,75,CL,1573766875,77,-36.72,-73.12,66.2,12.75
506,ketchikan,90,US,1573766875,93,55.34,-131.65,50.0,12.75
507,suchindram,0,IN,1573766875,74,8.16,77.47,82.35,17.0
508,hervey bay,20,US,1573766876,53,33.5,-93.78,51.8,4.7
509,luanda,75,AO,1573766651,83,-8.83,13.24,80.6,8.05
510,hirara,100,JP,1573766594,77,24.8,125.28,71.35,24.16
511,batagay-alyta,0,RU,1573766877,86,67.8,130.41,-10.34,3.36
512,gushi,0,CN,1573766877,30,32.17,115.65,51.66,3.51
513,southbridge,90,US,1573766878,59,42.08,-72.03,39.99,5.82
514,zhigansk,82,RU,1573766878,93,66.77,123.37,-17.52,10.6
515,praia,75,BR,1573766878,88,-20.25,-43.81,73.4,3.36
516,naryan-mar,100,RU,1573766879,92,67.67,53.09,18.12,17.18
517,cayenne,0,GF,1573766879,70,4.94,-52.33,84.2,5.82
518,loding,72,DE,1573766879,100,48.05,12.68,37.0,2.24
519,havelock,75,US,1573766879,71,34.88,-76.9,57.2,9.17
520,gimli,98,CA,1573766671,62,50.63,-96.99,28.0,8.01
521,vitim,84,RU,1573766879,99,59.44,112.57,-26.05,1.97
522,saint-georges,100,CA,1573766880,88,46.12,-70.67,23.0,4.0
523,okhotsk,100,RU,1573766880,74,59.36,143.24,24.67,19.73
524,pangody,100,RU,1573766880,100,65.85,74.49,-8.34,2.93
525,benicarlo,50,ES,1573766884,70,40.42,0.43,39.0,9.33
526,buchanan,75,LR,1573766885,94,5.88,-10.05,77.0,3.49
527,nador,75,MA,1573766885,58,35.17,-2.93,59.0,14.99
528,mumford,100,GH,1573766885,89,5.26,-0.76,75.9,1.81
529,suclayin,100,PH,1573766885,94,15.76,121.55,66.02,5.64
